#jdb (days)	RV (km/s)	RV error (km/s)	realistic RV error (km/s)	Bisector (km/s)	FWHM (km/s)	Photon noise (km/s)	log(R'hk)	log(R'hk) error	Low pass filter log(R'hk)	Alpha (hours)	Delta (degrees)	Seeing
#----------	---------	---------------	-------------------------	---------------	-----------	-------------------	---------	---------------	-------------------------	-------------	---------------	------
54648.643857	-22.375134	0.000411	0.001008	0.003165	6.256062	0.000048	-4.9852	0.0003	-4.9817	14.6587971013	-60.8342978087	1.15
54878.805401	-22.492642	0.000411	0.001008	0.003298	6.266295	0.000041	-4.9482	0.0002	-4.9498	14.6587703641	-60.8341332666	0.69
54878.897653	-22.492655	0.000387	0.000998	0.003602	6.265642	0.000038	-4.9462	0.0002	-4.9498	14.6587703641	-60.8341332666	0.96
54879.770772	-22.492408	0.000488	0.001041	0.003040	6.269227	0.000087	-4.9491	0.0006	-4.9498	14.6587699240	-60.8341345959	1.87
54880.780994	-22.492967	0.000411	0.001008	0.002580	6.266824	0.000047	-4.9437	0.0003	-4.9499	14.6587694573	-60.8341359538	1.32
54880.894297	-22.495059	0.000411	0.001008	0.002766	6.264434	0.000039	-4.9451	0.0002	-4.9499	14.6587694573	-60.8341359538	1.26
54881.769879	-22.492466	0.000421	0.001012	0.002561	6.269414	0.000049	-4.9449	0.0003	-4.9500	14.6587689916	-60.8341372602	1.41
54881.905032	-22.492519	0.000461	0.001029	0.002095	6.266830	0.000049	-4.9452	0.0003	-4.9500	14.6587689916	-60.8341372602	0.88
54882.766939	-22.492312	0.000411	0.001008	0.001725	6.268480	0.000053	-4.9480	0.0003	-4.9501	14.6587685146	-60.8341385550	1.03
54882.884077	-22.492673	0.000411	0.001008	0.002022	6.266306	0.000038	-4.9478	0.0002	-4.9502	14.6587685146	-60.8341385550	0.73
54883.777479	-22.490590	0.000411	0.001008	0.002005	6.269263	0.000045	-4.9471	0.0003	-4.9503	14.6587680233	-60.8341398327	1.06
54884.892500	-22.490631	0.000411	0.001008	0.002443	6.264942	0.000057	-4.9527	0.0004	-4.9504	14.6587675230	-60.8341410875	1.05
54886.753554	-22.493953	0.000421	0.001012	0.002287	6.267693	0.000041	-4.9503	0.0002	-4.9507	14.6587665314	-60.8341434366	0.79
54886.898174	-22.494299	0.000421	0.001012	0.002933	6.264363	0.000037	-4.9484	0.0002	-4.9508	14.6587665314	-60.8341434366	0.66
54913.773975	-22.509865	0.000389	0.000999	0.002891	6.264831	0.000041	-4.9594	0.0002	-4.9573	14.6587502097	-60.8341620864	1.57
54913.789113	-22.510145	0.000354	0.000986	0.003004	6.263944	0.000029	-4.9575	0.0002	-4.9573	14.6587502097	-60.8341620864	1.57
