# Standard, non-uniform FFT-based periodogram
# Chosen Nyquist frequency: 0.2
# Rayleigh resolution: 0.0008126409775662672
# Detrended: True
# Trend type: quadratic
# Number of bootstrap iterations: 1000
# 5% FAP (bootstrap): 9.419334697509978e-06
# 1% FAP (bootstrap): 1.1578516469858627e-05
# Window applied: None
# frequency,power
2.28997290e-02,2.54782527e-05
2.30352304e-02,2.54153092e-05
2.31707317e-02,2.26898336e-05
2.33062331e-02,1.83424576e-05
2.34417344e-02,1.34809399e-05
2.35772358e-02,8.89880109e-06
2.37127371e-02,5.09055753e-06
2.38482385e-02,2.49759370e-06
2.39837398e-02,1.60426572e-06
2.41192412e-02,2.65450597e-06
2.42547425e-02,5.17436947e-06
2.43902439e-02,7.80279537e-06
2.45257453e-02,8.82129410e-06
2.46612466e-02,7.24262422e-06
2.47967480e-02,3.76290079e-06
2.49322493e-02,7.88639901e-07
2.50677507e-02,1.29011351e-06
2.52032520e-02,7.06746521e-06
2.53387534e-02,1.75219036e-05
2.54742547e-02,2.97738248e-05
2.56097561e-02,4.00941856e-05
2.57452575e-02,4.57375784e-05
2.58807588e-02,4.60323203e-05
2.60162602e-02,4.21606257e-05
2.61517615e-02,3.60000019e-05
2.62872629e-02,2.89839580e-05
2.64227642e-02,2.17590863e-05
2.65582656e-02,1.46653557e-05
2.66937669e-02,8.38202513e-06
2.68292683e-02,4.01026523e-06
2.69647696e-02,2.43039311e-06
2.71002710e-02,3.47448094e-06
2.72357724e-02,5.69455446e-06
2.73712737e-02,7.07671687e-06
2.75067751e-02,6.29874919e-06
2.76422764e-02,3.65957033e-06
2.77777778e-02,9.97343845e-07
2.79132791e-02,6.13482103e-07
2.80487805e-02,3.90092302e-06
2.81842818e-02,1.05458421e-05
2.83197832e-02,1.87457579e-05
2.84552846e-02,2.62107623e-05
2.85907859e-02,3.12699820e-05
2.87262873e-02,3.34512896e-05
2.88617886e-02,3.33252174e-05
2.89972900e-02,3.18665346e-05
2.91327913e-02,2.97989870e-05
2.92682927e-02,2.72870692e-05
2.94037940e-02,2.40661186e-05
2.95392954e-02,1.98500801e-05
2.96747967e-02,1.47390880e-05
2.98102981e-02,9.38027988e-06
2.99457995e-02,4.77425896e-06
3.00813008e-02,1.81365699e-06
3.02168022e-02,8.10941693e-07
3.03523035e-02,1.31975388e-06
3.04878049e-02,2.40830673e-06
3.06233062e-02,3.25113340e-06
3.07588076e-02,3.65182865e-06
3.08943089e-02,4.10621844e-06
3.10298103e-02,5.32118454e-06
3.11653117e-02,7.52811973e-06
3.13008130e-02,1.01399778e-05
3.14363144e-02,1.20854958e-05
3.15718157e-02,1.26297480e-05
3.17073171e-02,1.20530594e-05
3.18428184e-02,1.15896166e-05
3.19783198e-02,1.25585232e-05
3.21138211e-02,1.52731799e-05
3.22493225e-02,1.85674297e-05
3.23848238e-02,2.03842140e-05
3.25203252e-02,1.90930698e-05
3.26558266e-02,1.46254123e-05
3.27913279e-02,8.60411331e-06
3.29268293e-02,3.35666477e-06
3.30623306e-02,5.08003443e-07
3.31978320e-02,1.37418789e-07
3.33333333e-02,1.03750738e-06
3.34688347e-02,1.78536336e-06
3.36043360e-02,1.76750780e-06
3.37398374e-02,1.41216915e-06
3.38753388e-02,1.55473394e-06
3.40108401e-02,2.54313402e-06
3.41463415e-02,3.84763166e-06
3.42818428e-02,4.47953988e-06
3.44173442e-02,3.84402483e-06
3.45528455e-02,2.30535957e-06
3.46883469e-02,9.89997000e-07
3.48238482e-02,9.71681220e-07
3.49593496e-02,2.46838337e-06
3.50948509e-02,4.65948250e-06
3.52303523e-02,6.24466869e-06
3.53658537e-02,6.31307175e-06
3.55013550e-02,4.89412189e-06
3.56368564e-02,2.83968650e-06
3.57723577e-02,1.19128102e-06
3.59078591e-02,5.24000912e-07
3.60433604e-02,7.05391431e-07
3.61788618e-02,1.15388811e-06
3.63143631e-02,1.32617920e-06
3.64498645e-02,1.05973690e-06
3.65853659e-02,5.74339782e-07
3.67208672e-02,2.14220671e-07
3.68563686e-02,1.71802293e-07
3.69918699e-02,3.87411108e-07
3.71273713e-02,6.47712956e-07
3.72628726e-02,7.62139994e-07
3.73983740e-02,6.76270434e-07
3.75338753e-02,4.64951827e-07
3.76693767e-02,2.46614653e-07
3.78048780e-02,9.97058734e-08
3.79403794e-02,3.38542041e-08
3.80758808e-02,1.46100379e-08
3.82113821e-02,6.65925360e-09
3.83468835e-02,1.22077113e-09
3.84823848e-02,1.54709338e-08
3.86178862e-02,7.46459106e-08
3.87533875e-02,1.98033478e-07
3.88888889e-02,4.04358556e-07
3.90243902e-02,7.32681510e-07
3.91598916e-02,1.25312555e-06
3.92953930e-02,2.03692101e-06
3.94308943e-02,3.08169425e-06
3.95663957e-02,4.23506149e-06
3.97018970e-02,5.18900906e-06
3.98373984e-02,5.59008296e-06
3.99728997e-02,5.22817087e-06
4.01084011e-02,4.18714494e-06
4.02439024e-02,2.83765885e-06
4.03794038e-02,1.64950010e-06
4.05149051e-02,9.35589914e-07
4.06504065e-02,7.02897427e-07
4.07859079e-02,7.13775071e-07
4.09214092e-02,7.01657394e-07
4.10569106e-02,5.67069288e-07
4.11924119e-02,4.06872694e-07
4.13279133e-02,3.82322311e-07
4.14634146e-02,5.75208662e-07
4.15989160e-02,9.82023127e-07
4.17344173e-02,1.64651394e-06
4.18699187e-02,2.76829391e-06
4.20054201e-02,4.61348558e-06
4.21409214e-02,7.22789595e-06
4.22764228e-02,1.01710578e-05
4.24119241e-02,1.25440606e-05
4.25474255e-02,1.33924946e-05
4.26829268e-02,1.22615434e-05
4.28184282e-02,9.51623132e-06
4.29539295e-02,6.17359480e-06
4.30894309e-02,3.34025176e-06
4.32249322e-02,1.63740957e-06
4.33604336e-02,9.92710176e-07
4.34959350e-02,8.87899334e-07
4.36314363e-02,8.14272181e-07
4.37669377e-02,5.76540274e-07
4.39024390e-02,2.72207078e-07
4.40379404e-02,7.23814327e-08
4.41734417e-02,7.04920378e-08
4.43089431e-02,3.35615856e-07
4.44444444e-02,1.05144078e-06
4.45799458e-02,2.50192569e-06
4.47154472e-02,4.81064809e-06
4.48509485e-02,7.62212175e-06
4.49864499e-02,1.00530515e-05
4.51219512e-02,1.10747629e-05
4.52574526e-02,1.01291155e-05
4.53929539e-02,7.53745746e-06
4.55284553e-02,4.36780623e-06
4.56639566e-02,1.81971151e-06
4.57994580e-02,5.53880339e-07
4.59349593e-02,4.29749472e-07
4.60704607e-02,7.88958335e-07
4.62059621e-02,1.00848307e-06
4.63414634e-02,8.84317857e-07
4.64769648e-02,6.09401643e-07
4.66124661e-02,4.76133787e-07
4.67479675e-02,6.34622602e-07
4.68834688e-02,1.11177298e-06
4.70189702e-02,1.98949796e-06
4.71544715e-02,3.46131631e-06
4.72899729e-02,5.61526462e-06
4.74254743e-02,8.10705049e-06
4.75609756e-02,1.00786349e-05
4.76964770e-02,1.05313480e-05
4.78319783e-02,8.97561885e-06
4.79674797e-02,5.88502285e-06
4.81029810e-02,2.56132434e-06
4.82384824e-02,4.36339235e-07
4.83739837e-02,2.65846257e-07
4.85094851e-02,1.75790831e-06
4.86449864e-02,3.85199852e-06
4.87804878e-02,5.39604254e-06
4.89159892e-02,5.73298986e-06
4.90514905e-02,4.86927592e-06
4.91869919e-02,3.27519931e-06
4.93224932e-02,1.61587477e-06
4.94579946e-02,6.33642390e-07
4.95934959e-02,1.11996631e-06
4.97289973e-02,3.74076296e-06
4.98644986e-02,8.61566917e-06
5.00000000e-02,1.48864854e-05
5.01355014e-02,2.07074001e-05
5.02710027e-02,2.39006258e-05
5.04065041e-02,2.30337786e-05
5.05420054e-02,1.82730480e-05
5.06775068e-02,1.14111014e-05
5.08130081e-02,4.98256560e-06
5.09485095e-02,9.97048536e-07
5.10840108e-02,7.13131490e-08
5.12195122e-02,1.43520395e-06
5.13550136e-02,3.66459691e-06
5.14905149e-02,5.53970624e-06
5.16260163e-02,6.46757596e-06
5.17615176e-02,6.35987141e-06
5.18970190e-02,5.31281168e-06
5.20325203e-02,3.51409671e-06
5.21680217e-02,1.46765051e-06
5.23035230e-02,2.10361050e-07
5.24390244e-02,1.09630020e-06
5.25745257e-02,5.06346020e-06
5.27100271e-02,1.18031074e-05
5.28455285e-02,1.94813909e-05
5.29810298e-02,2.53781209e-05
5.31165312e-02,2.71842781e-05
5.32520325e-02,2.41997874e-05
5.33875339e-02,1.76856637e-05
5.35230352e-02,1.01576104e-05
5.36585366e-02,4.08198968e-06
5.37940379e-02,7.74331308e-07
5.39295393e-02,9.02885196e-08
5.40650407e-02,9.29243438e-07
5.42005420e-02,2.07096840e-06
5.43360434e-02,2.76943847e-06
5.44715447e-02,2.83914541e-06
5.46070461e-02,2.39476277e-06
5.47425474e-02,1.60875774e-06
5.48780488e-02,7.14659215e-07
5.50135501e-02,1.71869092e-07
5.51490515e-02,7.10067137e-07
5.52845528e-02,3.05615264e-06
5.54200542e-02,7.43590770e-06
5.55555556e-02,1.31880109e-05
5.56910569e-02,1.88196120e-05
5.58265583e-02,2.25633795e-05
5.59620596e-02,2.31609905e-05
5.60975610e-02,2.04380164e-05
5.62330623e-02,1.53579708e-05
5.63685637e-02,9.55385120e-06
5.65040650e-02,4.62090401e-06
5.66395664e-02,1.54117758e-06
5.67750678e-02,4.76442018e-07
5.69105691e-02,9.31721824e-07
5.70460705e-02,2.11511248e-06
5.71815718e-02,3.28596935e-06
5.73170732e-02,3.96782630e-06
5.74525745e-02,4.01359171e-06
5.75880759e-02,3.57283784e-06
5.77235772e-02,3.00961315e-06
5.78590786e-02,2.79061527e-06
5.79945799e-02,3.34953711e-06
5.81300813e-02,4.94534393e-06
5.82655827e-02,7.55153177e-06
5.84010840e-02,1.08165648e-05
5.85365854e-02,1.41172883e-05
5.86720867e-02,1.66992899e-05
5.88075881e-02,1.78745640e-05
5.89430894e-02,1.72301425e-05
5.90785908e-02,1.47888646e-05
5.92140921e-02,1.10587300e-05
5.93495935e-02,6.92505228e-06
5.94850949e-02,3.39157543e-06
5.96205962e-02,1.24939764e-06
5.97560976e-02,8.06742677e-07
5.98915989e-02,1.80499372e-06
6.00271003e-02,3.56578873e-06
6.01626016e-02,5.29902055e-06
6.02981030e-02,6.42059346e-06
6.04336043e-02,6.73355734e-06
6.05691057e-02,6.41273172e-06
6.07046070e-02,5.84299580e-06
6.08401084e-02,5.42377771e-06
6.09756098e-02,5.43461492e-06
6.11111111e-02,5.98675816e-06
6.12466125e-02,7.02510048e-06
6.13821138e-02,8.33810481e-06
6.15176152e-02,9.57400485e-06
6.16531165e-02,1.03005437e-05
6.17886179e-02,1.01368720e-05
6.19241192e-02,8.92851837e-06
6.20596206e-02,6.87616704e-06
6.21951220e-02,4.52294863e-06
6.23306233e-02,2.57139957e-06
6.24661247e-02,1.60185518e-06
6.26016260e-02,1.83086246e-06
6.27371274e-02,3.03340136e-06
6.28726287e-02,4.66423228e-06
6.30081301e-02,6.10780279e-06
6.31436314e-02,6.92673773e-06
6.32791328e-02,6.99526219e-06
6.34146341e-02,6.47651938e-06
6.35501355e-02,5.68370182e-06
6.36856369e-02,4.91112987e-06
6.38211382e-02,4.31788221e-06
6.39566396e-02,3.90573003e-06
6.40921409e-02,3.58107046e-06
6.42276423e-02,3.25200303e-06
6.43631436e-02,2.90187418e-06
6.44986450e-02,2.60196171e-06
6.46341463e-02,2.46641737e-06
6.47696477e-02,2.58814483e-06
6.49051491e-02,3.00110986e-06
6.50406504e-02,3.68676597e-06
6.51761518e-02,4.60108730e-06
6.53116531e-02,5.68040471e-06
6.54471545e-02,6.80940287e-06
6.55826558e-02,7.78530655e-06
6.57181572e-02,8.33998290e-06
6.58536585e-02,8.24893206e-06
6.59891599e-02,7.47685352e-06
6.61246612e-02,6.24906410e-06
6.62601626e-02,4.96237532e-06
6.63956640e-02,3.96102414e-06
6.65311653e-02,3.32380109e-06
6.66666667e-02,2.83192570e-06
6.68021680e-02,2.17152055e-06
6.69376694e-02,1.24222345e-06
6.70731707e-02,3.37557988e-07
6.72086721e-02,3.33825035e-08
6.73441734e-02,8.32700294e-07
6.74796748e-02,2.81050281e-06
6.76151762e-02,5.52068254e-06
6.77506775e-02,8.24021352e-06
6.78861789e-02,1.03723793e-05
6.80216802e-02,1.17120796e-05
6.81571816e-02,1.23922774e-05
6.82926829e-02,1.25914231e-05
6.84281843e-02,1.22748072e-05
6.85636856e-02,1.12064694e-05
6.86991870e-02,9.22913784e-06
6.88346883e-02,6.56610825e-06
6.89701897e-02,3.85863973e-06
6.91056911e-02,1.85768530e-06
6.92411924e-02,9.76191601e-07
6.93766938e-02,1.04047215e-06
6.95121951e-02,1.44139953e-06
6.96476965e-02,1.58275869e-06
6.97831978e-02,1.29614503e-06
6.99186992e-02,9.20414518e-07
7.00542005e-02,1.00415626e-06
7.01897019e-02,1.87376729e-06
7.03252033e-02,3.39617529e-06
7.04607046e-02,5.09588465e-06
7.05962060e-02,6.50540245e-06
7.07317073e-02,7.45990492e-06
7.08672087e-02,8.11436049e-06
7.10027100e-02,8.69620991e-06
7.11382114e-02,9.21591502e-06
7.12737127e-02,9.38097847e-06
7.14092141e-02,8.79028733e-06
7.15447154e-02,7.26498615e-06
7.16802168e-02,5.06766856e-06
7.18157182e-02,2.84252450e-06
7.19512195e-02,1.30475578e-06
7.20867209e-02,8.73631296e-07
7.22222222e-02,1.47139586e-06
7.23577236e-02,2.59533580e-06
7.24932249e-02,3.60078195e-06
7.26287263e-02,4.01889646e-06
7.27642276e-02,3.73565145e-06
7.28997290e-02,2.96083945e-06
7.30352304e-02,2.04525543e-06
7.31707317e-02,1.28072950e-06
7.33062331e-02,8.01384432e-07
7.34417344e-02,6.15341120e-07
7.35772358e-02,6.99957888e-07
7.37127371e-02,1.05905059e-06
7.38482385e-02,1.69078565e-06
7.39837398e-02,2.50797758e-06
7.41192412e-02,3.30888854e-06
7.42547425e-02,3.86218280e-06
7.43902439e-02,4.06579215e-06
7.45257453e-02,4.05406238e-06
7.46612466e-02,4.14479507e-06
7.47967480e-02,4.63910825e-06
7.49322493e-02,5.61713686e-06
7.50677507e-02,6.89338710e-06
7.52032520e-02,8.17219566e-06
7.53387534e-02,9.27072894e-06
7.54742547e-02,1.02067611e-05
7.56097561e-02,1.10598341e-05
7.57452575e-02,1.17261776e-05
7.58807588e-02,1.18147235e-05
7.60162602e-02,1.08419163e-05
7.61517615e-02,8.62736184e-06
7.62872629e-02,5.58235815e-06
7.64227642e-02,2.61660093e-06
7.65582656e-02,6.67880224e-07
7.66937669e-02,1.69502381e-07
7.68292683e-02,8.45370487e-07
7.69647696e-02,1.98068321e-06
7.71002710e-02,2.94434945e-06
7.72357724e-02,3.54923559e-06
7.73712737e-02,3.99616854e-06
7.75067751e-02,4.52453997e-06
7.76422764e-02,5.15324297e-06
7.77777778e-02,5.79624322e-06
7.79132791e-02,6.64934650e-06
7.80487805e-02,8.41573786e-06
7.81842818e-02,1.19950035e-05
7.83197832e-02,1.77080074e-05
7.84552846e-02,2.46127078e-05
7.85907859e-02,3.05471408e-05
7.87262873e-02,3.30786532e-05
7.88617886e-02,3.08539937e-05
7.89972900e-02,2.44688405e-05
7.91327913e-02,1.62369839e-05
7.92682927e-02,8.97539952e-06
7.94037940e-02,4.58889638e-06
7.95392954e-02,3.33640900e-06
7.96747967e-02,4.13151013e-06
7.98102981e-02,5.49843004e-06
7.99457995e-02,6.43186269e-06
8.00813008e-02,6.64063274e-06
8.02168022e-02,6.24083919e-06
8.03523035e-02,5.38904421e-06
8.04878049e-02,4.27140195e-06
8.06233062e-02,3.40441251e-06
8.07588076e-02,3.80553345e-06
8.08943089e-02,6.63857487e-06
8.10298103e-02,1.24086124e-05
8.11653117e-02,2.02660585e-05
8.13008130e-02,2.80367893e-05
8.14363144e-02,3.31303229e-05
8.15718157e-02,3.38359544e-05
8.17073171e-02,3.01995182e-05
8.18428184e-02,2.39345845e-05
8.19783198e-02,1.74624396e-05
8.21138211e-02,1.27158701e-05
8.22493225e-02,1.04070859e-05
8.23848238e-02,1.00587139e-05
8.25203252e-02,1.05783185e-05
8.26558266e-02,1.09040518e-05
8.27913279e-02,1.03779763e-05
8.29268293e-02,8.81791613e-06
8.30623306e-02,6.45940157e-06
8.31978320e-02,3.89587598e-06
8.33333333e-02,1.97747587e-06
8.34688347e-02,1.55822551e-06
8.36043360e-02,3.10395617e-06
8.37398374e-02,6.36699512e-06
8.38753388e-02,1.03861613e-05
8.40108401e-02,1.38893869e-05
8.41463415e-02,1.58897702e-05
8.42818428e-02,1.61128522e-05
8.44173442e-02,1.50092008e-05
8.45528455e-02,1.33995978e-05
8.46883469e-02,1.20317527e-05
8.48238482e-02,1.13218552e-05
8.49593496e-02,1.13471642e-05
8.50948509e-02,1.19520658e-05
8.52303523e-02,1.28065277e-05
8.53658537e-02,1.34051591e-05
8.55013550e-02,1.31397483e-05
8.56368564e-02,1.15493061e-05
8.57723577e-02,8.65854074e-06
8.59078591e-02,5.14508293e-06
8.60433604e-02,2.12021902e-06
8.61788618e-02,5.74229404e-07
8.63143631e-02,8.21033232e-07
8.64498645e-02,2.32823407e-06
8.65853659e-02,4.06680478e-06
8.67208672e-02,5.14249006e-06
8.68563686e-02,5.27186904e-06
8.69918699e-02,4.79957627e-06
8.71273713e-02,4.30934468e-06
8.72628726e-02,4.17202025e-06
8.73983740e-02,4.37280575e-06
8.75338753e-02,4.68972993e-06
8.76693767e-02,4.99726536e-06
8.78048780e-02,5.39302641e-06
8.79403794e-02,6.03917300e-06
8.80758808e-02,6.88772234e-06
8.82113821e-02,7.57184297e-06
8.83468835e-02,7.59802170e-06
8.84823848e-02,6.70254596e-06
8.86178862e-02,5.08067349e-06
8.87533875e-02,3.29268047e-06
8.88888889e-02,1.91305758e-06
8.90243902e-02,1.19267278e-06
8.91598916e-02,9.81155011e-07
8.92953930e-02,9.36860316e-07
8.94308943e-02,8.26413303e-07
8.95663957e-02,6.69682910e-07
8.97018970e-02,6.41875167e-07
8.98373984e-02,8.55197493e-07
8.99728997e-02,1.22734966e-06
9.01084011e-02,1.54440838e-06
9.02439024e-02,1.64455309e-06
9.03794038e-02,1.55026895e-06
9.05149051e-02,1.43787652e-06
9.06504065e-02,1.48609364e-06
9.07859079e-02,1.74650123e-06
9.09214092e-02,2.14276331e-06
9.10569106e-02,2.57617203e-06
9.11924119e-02,3.01812445e-06
9.13279133e-02,3.49396387e-06
9.14634146e-02,3.97918175e-06
9.15989160e-02,4.32432683e-06
9.17344173e-02,4.30640507e-06
9.18699187e-02,3.78680287e-06
9.20054201e-02,2.84711295e-06
9.21409214e-02,1.77728230e-06
9.22764228e-02,9.08535797e-07
9.24119241e-02,4.15465104e-07
9.25474255e-02,2.41194889e-07
9.26829268e-02,1.98067366e-07
9.28184282e-02,1.49727261e-07
9.29539295e-02,1.15458629e-07
9.30894309e-02,2.11110954e-07
9.32249322e-02,4.89952611e-07
9.33604336e-02,8.40806938e-07
9.34959350e-02,1.05455694e-06
9.36314363e-02,1.01850301e-06
9.37669377e-02,8.70533343e-07
9.39024390e-02,9.57048462e-07
9.40379404e-02,1.59176881e-06
9.41734417e-02,2.78686645e-06
9.43089431e-02,4.17605400e-06
9.44444444e-02,5.21880383e-06
9.45799458e-02,5.55745362e-06
9.47154472e-02,5.26507193e-06
9.48509485e-02,4.78604450e-06
9.49864499e-02,4.59695781e-06
9.51219512e-02,4.83430632e-06
9.52574526e-02,5.17482164e-06
9.53929539e-02,5.07297608e-06
9.55284553e-02,4.18857889e-06
9.56639566e-02,2.68314473e-06
9.57994580e-02,1.15207100e-06
9.59349593e-02,2.31254492e-07
9.60704607e-02,1.66830878e-07
9.62059621e-02,6.69810415e-07
9.63414634e-02,1.16232757e-06
9.64769648e-02,1.22193389e-06
9.66124661e-02,8.79611648e-07
9.67479675e-02,5.47421025e-07
9.68834688e-02,6.50689024e-07
9.70189702e-02,1.27870044e-06
9.71544715e-02,2.15052267e-06
9.72899729e-02,2.92630826e-06
9.74254743e-02,3.59233512e-06
9.75609756e-02,4.56257483e-06
9.76964770e-02,6.35575791e-06
9.78319783e-02,9.06407200e-06
9.79674797e-02,1.20399136e-05
9.81029810e-02,1.41052082e-05
9.82384824e-02,1.42071679e-05
9.83739837e-02,1.20908156e-05
9.85094851e-02,8.51171788e-06
9.86449864e-02,4.82184804e-06
9.87804878e-02,2.20270170e-06
9.89159892e-02,1.06253323e-06
9.90514905e-02,9.79110059e-07
9.91869919e-02,1.16525597e-06
9.93224932e-02,1.07170118e-06
9.94579946e-02,6.88439062e-07
9.95934959e-02,3.81454435e-07
9.97289973e-02,4.72728512e-07
9.98644986e-02,9.44068183e-07
1.00000000e-01,1.49952758e-06
1.00135501e-01,1.89694983e-06
1.00271003e-01,2.23147907e-06
1.00406504e-01,2.90524929e-06
1.00542005e-01,4.29378677e-06
1.00677507e-01,6.38391379e-06
1.00813008e-01,8.69015263e-06
1.00948509e-01,1.05334934e-05
1.01084011e-01,1.14738322e-05
1.01219512e-01,1.15644594e-05
1.01355014e-01,1.12393413e-05
1.01490515e-01,1.09323869e-05
1.01626016e-01,1.07307178e-05
1.01761518e-01,1.03254153e-05
1.01897019e-01,9.28445850e-06
1.02032520e-01,7.42800102e-06
1.02168022e-01,5.02262012e-06
1.02303523e-01,2.66330029e-06
1.02439024e-01,9.45996206e-07
1.02574526e-01,1.67176724e-07
1.02710027e-01,2.33549204e-07
1.02845528e-01,7.92220304e-07
