BJD-2450000,Ha,eHa,nothing1,Ca,nothing2,eCa,nothing3,NaD,eNaD,FWHM,eFWHM,Ins
4523.8813,,,,3.851,,0.048,,0.176,0.010,4.515625,0.000070,HARPS-Pre2015
4551.9090,0.4872,0.0011,,4.012,,0.042,,0.179,0.010,4.516584,0.000063,HARPS-Pre2015
4588.9210,0.4828,0.0013,,3.707,,0.060,,0.172,0.010,4.517619,0.000072,HARPS-Pre2015
4633.9000,0.4760,0.0008,,3.751,,0.016,,,,,,HIRES
4717.7522,0.4808,0.0011,,3.872,,0.016,,,,,,HIRES
4718.7546,0.4955,0.0006,,4.791,,0.017,,,,,,HIRES
4719.7718,0.4827,0.0010,,3.738,,0.017,,,,,,HIRES
4723.7585,0.4851,0.0008,,3.888,,0.018,,,,,,HIRES
4724.7641,0.4741,0.0009,,3.719,,0.015,,,,,,HIRES
4930.0562,0.4903,0.0009,,3.216,,0.016,,,,,,HIRES
4948.8097,0.5020,0.0016,,3.348,,0.034,,0.164,0.010,4.506428,0.000059,HARPS-Pre2015
4951.8260,0.5108,0.0013,,4.104,,0.050,,0.177,0.010,4.513311,0.000065,HARPS-Pre2015
4956.8429,0.5060,0.0013,,3.583,,0.051,,0.170,0.010,4.509104,0.000062,HARPS-Pre2015
5054.6525,0.5066,0.0011,,5.599,,0.062,,0.205,0.009,4.517561,0.000063,HARPS-Pre2015
5283.8800,,,,,,,,0.224,0.010,4.529010,0.000066,HARPS-Pre2015
5305.8791,,,,,,,,,,4.526521,0.000061,HARPS-Pre2015
5388.5871,0.4802,0.0012,,4.190,,0.068,,0.194,0.010,4.519604,0.000065,HARPS-Pre2015
5396.5981,0.4812,0.0011,,4.833,,0.137,,0.207,0.010,4.526556,0.000071,HARPS-Pre2015
5403.6473,0.4831,0.0009,,4.721,,0.092,,0.207,0.010,4.521518,0.000066,HARPS-Pre2015
5457.5419,0.4751,0.0011,,5.444,,0.054,,0.216,0.010,4.526129,0.000065,HARPS-Pre2015
5463.7897,0.4894,0.0013,,5.272,,0.015,,,,,,HIRES
5485.4905,0.4980,0.0011,,6.008,,0.079,,0.217,0.010,4.517299,0.000059,HARPS-Pre2015
5607.1394,0.5086,0.0012,,6.572,,0.015,,,,,,HIRES
5608.1255,0.4866,0.0010,,5.688,,0.016,,,,,,HIRES
5609.1658,0.4906,0.0009,,6.452,,0.017,,,,,,HIRES
5614.1595,0.4732,0.0011,,5.163,,0.017,,,,,,HIRES
5634.0923,0.4851,0.0009,,5.142,,0.021,,,,,,HIRES
5634.8924,0.4772,0.0011,,5.368,,0.069,,0.203,0.010,4.524279,0.000063,HARPS-Pre2015
5635.1146,0.4733,0.0011,,5.182,,0.016,,,,,,HIRES
5636.1504,0.5013,0.0012,,5.890,,0.015,,,,,,HIRES
5637.1206,0.4858,0.0012,,5.307,,0.014,,,,,,HIRES
5638.0751,0.4774,0.0011,,4.902,,0.015,,,,,,HIRES
5645.9034,0.4801,0.0011,,4.905,,0.059,,0.200,0.010,4.518722,0.000064,HARPS-Pre2015
5660.8341,0.4878,0.0013,,4.922,,0.050,,0.199,0.010,4.524090,0.000062,HARPS-Pre2015
5665.0244,0.4741,0.0012,,4.047,,0.013,,,,,,HIRES
5668.0309,0.4765,0.0011,,4.341,,0.015,,,,,,HIRES
5670.0517,0.4954,0.0008,,5.329,,0.014,,,,,,HIRES
5671.0697,0.4803,0.0007,,4.737,,0.016,,,,,,HIRES
5671.9960,0.4783,0.0008,,4.721,,0.017,,,,,,HIRES
5672.8447,0.4834,0.0014,,4.814,,0.045,,0.192,0.010,4.521762,0.000066,HARPS-Pre2015
5672.9779,0.4779,0.0011,,4.596,,0.018,,,,,,HIRES
5673.9668,0.5048,0.0010,,5.797,,0.015,,,,,,HIRES
5682.7317,0.4884,0.0010,,4.504,,0.072,,0.190,0.010,4.518630,0.000061,HARPS-Pre2015
5683.7401,0.4881,0.0012,,4.611,,0.062,,0.194,0.010,4.522782,0.000068,HARPS-Pre2015
5684.7422,0.4918,0.0010,,4.815,,0.048,,0.203,0.010,4.520426,0.000066,HARPS-Pre2015
5685.7273,0.4872,0.0011,,4.289,,0.054,,0.184,0.010,4.523841,0.000066,HARPS-Pre2015
5686.9383,,,,5.505,,0.073,,0.217,0.010,4.528096,0.000076,HARPS-Pre2015
5689.7556,,,,,,,,0.203,0.009,4.513555,0.000068,HARPS-Pre2015
5690.8129,0.5013,0.0011,,4.722,,0.065,,0.197,0.010,4.519167,0.000062,HARPS-Pre2015
5691.8383,0.4891,0.0011,,4.410,,0.080,,0.190,0.010,4.517149,0.000065,HARPS-Pre2015
5692.7334,0.4993,0.0011,,5.012,,0.066,,0.197,0.010,4.523041,0.000070,HARPS-Pre2015
5693.7671,0.4940,0.0012,,4.562,,0.047,,0.195,0.010,4.522002,0.000065,HARPS-Pre2015
5697.1278,0.4908,0.0012,,4.537,,0.017,,,,,,HIRES
5697.8855,0.4924,0.0008,,4.642,,0.018,,,,,,HIRES
5699.8826,0.5027,0.0011,,5.478,,0.022,,,,,,HIRES
5704.8693,0.4939,0.0009,,5.123,,0.019,,,,,,HIRES
5705.8631,0.4962,0.0007,,4.932,,0.021,,,,,,HIRES
5706.8538,,,,5.529,,0.016,,,,,,HIRES
5707.8637,0.4931,0.0011,,4.881,,0.017,,,,,,HIRES
5720.0248,0.4926,0.0010,,5.288,,0.016,,,,,,HIRES
5723.0229,0.4897,0.0011,,5.500,,0.025,,,,,,HIRES
5723.8703,0.4855,0.0008,,5.284,,0.014,,,,,,HIRES
5726.9442,0.4733,0.0008,,4.820,,0.015,,,,,,HIRES
5733.8343,0.4794,0.0007,,5.175,,0.017,,,,,,HIRES
5734.8825,0.4861,0.0009,,4.812,,0.017,,,,,,HIRES
5735.8499,0.4815,0.0012,,4.715,,0.015,,,,,,HIRES
5749.9787,0.4950,0.0007,,5.514,,0.021,,,,,,HIRES
5751.7709,0.4661,0.0008,,4.085,,0.014,,,,,,HIRES
5753.7394,0.4744,0.0011,,4.224,,0.090,,0.200,0.009,4.520775,0.000066,HARPS-Pre2015
5754.6603,0.4748,0.0012,,4.682,,0.085,,0.200,0.010,4.521392,0.000056,HARPS-Pre2015
5759.7704,0.4752,0.0008,,4.717,,0.020,,,,,,HIRES
5760.7605,0.4684,0.0011,,3.982,,0.016,,,,,,HIRES
5761.7916,0.4766,0.0010,,4.646,,0.015,,,,,,HIRES
5762.8327,0.4741,0.0011,,4.248,,0.014,,,,,,HIRES
5763.7775,0.4730,0.0012,,3.944,,0.016,,,,,,HIRES
5768.7548,0.4718,0.0010,,3.585,,0.019,,,,,,HIRES
5769.5398,0.4725,0.0011,,4.452,,0.062,,0.196,0.010,4.518223,0.000071,HARPS-Pre2015
5769.7649,0.4739,0.0011,,4.282,,0.014,,,,,,HIRES
5770.7719,0.4700,0.0009,,3.847,,0.017,,,,,,HIRES
5776.5135,0.4744,0.0013,,4.348,,0.079,,0.188,0.010,4.527746,0.000067,HARPS-Pre2015
5777.5778,0.4747,0.0013,,3.988,,0.076,,0.189,0.009,4.519921,0.000068,HARPS-Pre2015
5778.6227,0.4833,0.0013,,3.792,,0.155,,0.193,0.009,4.519930,0.000063,HARPS-Pre2015
5779.6881,0.4729,0.0012,,3.967,,0.070,,0.192,0.010,4.520118,0.000061,HARPS-Pre2015
5781.7598,0.4694,0.0009,,3.929,,0.018,,,,,,HIRES
5782.6399,0.4697,0.0011,,,,,,0.198,0.010,4.524605,0.000078,HARPS-Pre2015
5787.8874,0.4672,0.0009,,3.933,,0.015,,,,,,HIRES
5788.9175,0.4694,0.0009,,3.892,,0.015,,,,,,HIRES
5789.7809,0.4749,0.0008,,4.121,,0.017,,,,,,HIRES
5790.8482,0.4708,0.0010,,3.759,,0.020,,,,,,HIRES
5791.5966,0.4732,0.0012,,,,,,0.177,0.010,,,PFS
5791.9022,0.4704,0.0007,,4.150,,0.019,,,,,,HIRES
5792.8542,0.4724,0.0010,,3.910,,0.020,,,,,,HIRES
5793.5580,0.4762,0.0011,,,,,,0.193,0.009,,,PFS
5793.7298,0.4732,0.0007,,4.416,,0.016,,,,,,HIRES
5794.6080,0.4762,0.0013,,,,,,0.201,0.010,,,PFS
5794.7855,0.4699,0.0017,,4.125,,0.020,,,,,,HIRES
5795.8883,0.4753,0.0017,,4.165,,0.016,,,,,,HIRES
5796.5752,0.4763,0.0012,,,,,,0.191,0.009,,,PFS
5796.7559,,,,4.271,,0.015,,,,,,HIRES
5796.7592,0.4762,0.0008,,,,,,,,,,HIRES
5797.7454,0.4755,0.0009,,3.841,,0.021,,,,,,HIRES
5798.8456,0.5018,0.0005,,5.888,,0.017,,,,,,HIRES
5801.6071,0.4755,0.0012,,,,,,0.200,0.009,,,PFS
5802.5237,0.4802,0.0011,,4.204,,0.103,,0.198,0.010,4.524116,0.000061,HARPS-Pre2015
5802.5778,0.4773,0.0010,,,,,,0.189,0.009,,,PFS
5803.5555,0.4793,0.0012,,3.781,,0.127,,0.192,0.010,4.532221,0.000066,HARPS-Pre2015
