BJD-2450000,Ha,eHa,nothing1,Ca,nothing2,eCa,nothing3,NaD,eNaD,FWHM,eFWHM,Ins
7134.9988,0.4927,0.0036,,4.110,,0.077,,0.224,0.016,,,APF
7141.8588,0.4878,0.0018,,4.397,,0.083,,0.256,0.016,,,APF
7144.8485,0.4905,0.0026,,4.090,,0.059,,0.184,0.015,,,APF
7159.8298,0.4806,0.0019,,4.009,,0.079,,,,,,APF
7159.8368,,,,,,,,0.213,0.014,,,APF
7180.8809,0.4892,0.0018,,4.498,,0.065,,0.221,0.016,,,APF
7194.9406,0.4886,0.0015,,4.782,,0.062,,0.228,0.016,,,APF
7205.7519,,,,,,,,0.243,0.009,,,PFS
7214.7732,0.4751,0.0027,,4.069,,0.050,,0.188,0.016,,,APF
7223.7923,0.4772,0.0020,,3.838,,0.055,,0.173,0.015,,,APF
7228.9020,0.4752,0.0018,,4.024,,0.073,,0.203,0.014,,,APF
7237.9108,0.4826,0.0019,,4.189,,0.079,,0.200,0.015,,,APF
7261.5601,0.4829,0.0013,,,,,,,,,,PFS
7263.6782,0.4886,0.0019,,4.317,,0.060,,0.226,0.015,,,APF
7294.7531,0.4998,0.0022,,4.120,,0.101,,,,,,APF
7422.7458,0.4773,0.0019,,,,,,0.183,0.014,4.519109,0.000030,CARMENES
7427.7428,0.4777,0.0018,,,,,,0.180,0.014,4.516913,0.000039,CARMENES
7440.7072,0.4772,0.0015,,,,,,0.193,0.014,4.516417,0.000033,CARMENES
7451.6982,0.4800,0.0015,,3.794,,0.070,,0.198,0.010,4.522756,0.000065,HARPSN
7452.7277,0.4764,0.0015,,3.778,,0.065,,0.195,0.010,,,HARPSN
7452.7521,,,,,,,,,,4.515991,0.000064,HARPSN
7453.7226,0.4855,0.0015,,4.185,,0.078,,,,4.521837,0.000073,HARPSN
7453.7431,,,,,,,,0.216,0.010,,,HARPSN
7454.7311,0.4907,0.0014,,4.374,,0.065,,0.205,0.010,4.513379,0.000070,HARPSN
7455.7089,0.4818,0.0014,,,,,,0.197,0.010,4.514630,0.000070,HARPSN
7455.7092,,,,3.408,,0.086,,,,,,HARPSN
7472.7304,0.4763,0.0014,,,,,,0.206,0.014,4.520731,0.000033,CARMENES
7476.9029,,,,,,,,0.182,0.010,,,PFS
7478.0074,0.4800,0.0019,,3.794,,0.069,,0.186,0.016,,,APF
7490.6789,0.4865,0.0019,,,,,,0.154,0.015,4.506070,0.000028,CARMENES
7494.6991,0.4814,0.0017,,,,,,0.173,0.015,4.516261,0.000032,CARMENES
7503.6847,0.4780,0.0018,,,,,,0.184,0.014,4.521486,0.000038,CARMENES
7507.9022,0.4744,0.0014,,,,,,,,,,PFS
7509.5904,0.4744,0.0021,,,,,,0.160,0.014,4.512773,0.000030,CARMENES
7510.6905,0.4692,0.0020,,,,,,0.191,0.014,4.511830,0.000027,CARMENES
7532.5770,0.4690,0.0022,,,,,,0.209,0.015,4.517104,0.000035,CARMENES
7536.5353,0.4671,0.0019,,,,,,0.226,0.017,4.517687,0.000044,CARMENES
7536.7557,0.4791,0.0016,,,,,,0.248,0.010,,,PFS
7537.6669,0.4681,0.0018,,,,,,0.198,0.015,4.515610,0.000030,CARMENES
7539.5639,0.4693,0.0021,,,,,,0.188,0.014,4.510908,0.000036,CARMENES
7544.6654,0.4743,0.0021,,,,,,0.212,0.015,4.521863,0.000032,CARMENES
7555.5073,0.4758,0.0021,,,,,,0.196,0.015,4.507237,0.000022,CARMENES
7557.7700,0.4811,0.0013,,,,,,,,,,PFS
7572.5008,0.4951,0.0023,,,,,,0.191,0.014,4.505051,0.000031,CARMENES
7591.4238,0.4769,0.0017,,,,,,0.202,0.014,4.529636,0.000029,CARMENES
7596.3983,0.4680,0.0025,,,,,,0.154,0.015,4.501697,0.000043,CARMENES
7615.6200,0.4755,0.0012,,,,,,,,,,PFS
7618.4811,0.4782,0.0017,,,,,,0.181,0.017,4.525200,0.000037,CARMENES
7622.3906,0.4845,0.0021,,,,,,0.192,0.017,4.515660,0.000036,CARMENES
7623.4007,0.4819,0.0020,,,,,,0.221,0.021,,,CARMENES
7625.3569,0.4815,0.0018,,,,,,0.185,0.016,4.522173,0.000026,CARMENES
7626.3696,0.5001,0.0022,,,,,,0.205,0.017,4.524601,0.000034,CARMENES
7626.4171,0.4921,0.0013,,4.495,,0.046,,0.203,0.010,4.517738,0.000065,HARPSN
7627.3636,0.4806,0.0013,,,,,,0.214,0.016,4.516919,0.000031,CARMENES
7627.4115,0.4824,0.0013,,3.722,,0.034,,0.194,0.010,4.516976,0.000069,HARPSN
7628.3469,0.4704,0.0021,,,,,,0.206,0.017,4.511224,0.000034,CARMENES
7628.4271,0.4758,0.0015,,4.324,,0.049,,0.209,0.010,4.518227,0.000072,HARPSN
7629.3655,0.4840,0.0014,,4.236,,0.045,,,,,,HARPSN
7629.3677,0.4789,0.0020,,,,,,0.193,0.018,4.521278,0.000032,CARMENES
7629.4249,,,,,,,,0.212,0.010,4.514762,0.000063,HARPSN
7630.3564,0.4757,0.0014,,,,,,0.197,0.016,4.518900,0.000027,CARMENES
7630.4127,0.4781,0.0014,,4.197,,0.047,,0.207,0.010,4.516195,0.000064,HARPSN
7631.3680,0.4792,0.0022,,,,,,0.183,0.016,4.517672,0.000022,CARMENES
7632.3251,0.4821,0.0022,,,,,,0.179,0.017,4.525210,0.000032,CARMENES
7632.4121,0.4756,0.0013,,3.828,,0.031,,0.193,0.010,4.516639,0.000064,HARPSN
7633.3316,0.4777,0.0021,,,,,,0.190,0.018,4.519027,0.000038,CARMENES
7634.4215,0.4755,0.0022,,,,,,0.181,0.017,4.516322,0.000030,CARMENES
7635.3786,0.4755,0.0019,,,,,,0.210,0.018,4.522200,0.000031,CARMENES
7636.4289,0.4787,0.0023,,,,,,0.184,0.019,4.525604,0.000019,CARMENES
7637.4050,0.4862,0.0013,,4.537,,0.034,,0.205,0.010,4.516022,0.000062,HARPSN
7638.4058,0.4789,0.0012,,4.273,,0.036,,0.202,0.010,4.519351,0.000065,HARPSN
7641.3910,0.4676,0.0013,,4.171,,0.030,,0.206,0.010,4.519993,0.000067,HARPSN
7642.3948,0.4959,0.0014,,5.252,,0.035,,,,4.520396,0.000066,HARPSN
7642.4345,,,,,,,,0.223,0.010,,,HARPSN
7643.3039,0.4790,0.0020,,,,,,0.205,0.015,4.512530,0.000042,CARMENES
7643.3873,0.4627,0.0013,,3.789,,0.032,,0.201,0.010,4.518686,0.000067,HARPSN
7644.2944,0.4763,0.0021,,,,,,0.203,0.016,4.515585,0.000030,CARMENES
7645.3886,0.4645,0.0015,,3.811,,0.047,,0.205,0.010,4.519830,0.000065,HARPSN
7646.3102,0.4603,0.0013,,,,,,,,4.507672,0.000029,CARMENES
7646.3843,0.4628,0.0012,,4.363,,0.031,,0.210,0.010,4.520397,0.000063,HARPSN
7647.3103,0.4614,0.0021,,,,,,0.215,0.030,,,CARMENES
7650.3320,0.4649,0.0014,,,,,,0.181,0.015,4.520454,0.000049,CARMENES
7652.3573,0.4642,0.0020,,,,,,0.224,0.018,4.508259,0.000030,CARMENES
7655.3798,0.4697,0.0050,,,,,,,,,,CARMENES
7656.3228,0.4676,0.0025,,,,,,0.201,0.017,,,CARMENES
7657.3170,,,,,,,,,,4.502848,0.000043,CARMENES
7657.3385,0.4607,0.0043,,,,,,0.153,0.027,,,CARMENES
7658.3393,0.4712,0.0030,,,,,,0.195,0.017,4.516733,0.000034,CARMENES
7659.2893,0.4692,0.0020,,,,,,0.194,0.016,4.514735,0.000056,CARMENES
7665.2734,0.4656,0.0017,,,,,,0.220,0.016,4.515283,0.000046,CARMENES
7678.2931,0.4634,0.0019,,,,,,0.218,0.021,,,CARMENES
7679.2698,0.4733,0.0018,,,,,,0.196,0.017,,,CARMENES
7684.3078,0.4740,0.0016,,,,,,0.202,0.027,4.510761,0.000041,CARMENES
7685.3089,0.4689,0.0020,,,,,,0.214,0.021,4.519132,0.000033,CARMENES
7689.2531,0.4810,0.0012,,,,,,0.217,0.016,4.510848,0.000025,CARMENES
7690.3006,0.4689,0.0014,,,,,,0.228,0.018,4.517168,0.000035,CARMENES
7691.2598,0.4717,0.0020,,,,,,,,4.513516,0.000030,CARMENES
7692.2685,0.4756,0.0019,,,,,,,,4.518658,0.000022,CARMENES
7693.2975,0.4697,0.0017,,,,,,0.209,0.014,4.506222,0.000062,CARMENES
7694.2885,0.4644,0.0022,,,,,,0.203,0.016,4.530024,0.000045,CARMENES
7698.2888,0.4662,0.0026,,,,,,,,4.519041,0.000023,CARMENES
7704.2542,0.4778,0.0013,,,,,,,,4.518840,0.000038,CARMENES
7705.2525,0.4814,0.0015,,,,,,0.213,0.015,4.513811,0.000045,CARMENES
7706.2503,0.4752,0.0020,,,,,,0.164,0.015,4.524988,0.000032,CARMENES
7711.2388,0.4733,0.0016,,,,,,,,4.541542,0.000027,CARMENES
7712.2535,0.4676,0.0019,,,,,,0.212,0.015,4.515385,0.000027,CARMENES
7779.7650,0.4990,0.0015,,,,,,0.227,0.015,4.518970,0.000038,CARMENES
7788.7409,0.4730,0.0015,,,,,,0.209,0.015,4.536784,0.000040,CARMENES
7793.7353,0.4720,0.0013,,,,,,,,4.499597,0.000046,CARMENES
7794.7374,0.4997,0.0034,,,,,,0.234,0.035,4.519832,0.000027,CARMENES
7798.7174,0.4962,0.0018,,,,,,0.219,0.016,4.518634,0.000035,CARMENES
7799.7020,0.4730,0.0017,,,,,,0.205,0.016,4.525380,0.000032,CARMENES
7800.7046,0.4889,0.0014,,,,,,,,4.515542,0.000028,CARMENES
7801.7484,0.4680,0.0020,,,,,,0.202,0.015,4.526087,0.000029,CARMENES
7806.6891,0.4860,0.0023,,,,,,0.181,0.017,4.517052,0.000031,CARMENES
7814.7388,0.4763,0.0018,,,,,,0.214,0.014,4.500223,0.000027,CARMENES
7815.7184,0.4749,0.0018,,,,,,0.206,0.015,4.523341,0.000032,CARMENES
7817.6584,0.4835,0.0029,,,,,,0.185,0.019,4.523426,0.000031,CARMENES
7818.6674,0.4781,0.0020,,,,,,0.208,0.015,4.525463,0.000041,CARMENES
7819.6501,0.4853,0.0015,,,,,,0.214,0.015,4.536131,0.000031,CARMENES
7822.7393,0.4893,0.0015,,,,,,0.236,0.014,4.520231,0.000032,CARMENES
7824.6807,0.4854,0.0012,,,,,,0.199,0.015,4.522606,0.000037,CARMENES
7828.6380,0.4759,0.0020,,,,,,0.231,0.016,4.522228,0.000037,CARMENES
7829.6541,0.4844,0.0031,,,,,,0.193,0.017,4.516664,0.000035,CARMENES
7830.6935,0.4780,0.0016,,,,,,0.181,0.015,4.519208,0.000033,CARMENES
7833.7333,0.4731,0.0015,,,,,,0.205,0.014,4.526738,0.000033,CARMENES
7834.6788,0.4772,0.0019,,,,,,0.193,0.014,4.524576,0.000033,CARMENES
7851.6644,0.4810,0.0015,,,,,,0.191,0.015,4.524512,0.000031,CARMENES
7852.6919,0.4914,0.0012,,,,,,0.203,0.015,4.524079,0.000025,CARMENES
7854.6931,0.4859,0.0018,,,,,,0.243,0.015,4.518648,0.000030,CARMENES
7855.6252,0.4906,0.0020,,,,,,0.208,0.015,4.527318,0.000023,CARMENES
7856.6982,,,,,,,,0.240,0.014,4.513187,0.000037,CARMENES
7857.6674,0.4846,0.0017,,,,,,0.214,0.014,4.518193,0.000036,CARMENES
7858.6355,0.4942,0.0022,,,,,,0.221,0.014,4.520639,0.000027,CARMENES
7859.6334,0.4966,0.0024,,,,,,0.214,0.015,4.525055,0.000038,CARMENES
7861.7032,0.4978,0.0018,,,,,,0.218,0.015,,,CARMENES
7862.6963,0.4805,0.0022,,,,,,0.209,0.014,4.526431,0.000032,CARMENES
7863.6055,0.4950,0.0021,,,,,,0.219,0.017,4.515981,0.000030,CARMENES
7864.6810,0.4762,0.0024,,,,,,0.206,0.014,4.524892,0.000027,CARMENES
7866.6036,0.4769,0.0020,,,,,,0.217,0.015,4.520256,0.000028,CARMENES
7875.6233,0.4812,0.0019,,,,,,0.211,0.014,4.526622,0.000031,CARMENES
7876.5501,0.4727,0.0020,,,,,,0.206,0.014,4.521353,0.000040,CARMENES
7877.5577,0.4715,0.0017,,,,,,0.222,0.014,4.528038,0.000034,CARMENES
7878.6382,0.4639,0.0025,,,,,,0.196,0.016,4.521525,0.000028,CARMENES
7879.5710,0.4751,0.0020,,,,,,0.230,0.018,4.519261,0.000033,CARMENES
7880.6625,0.4719,0.0016,,,,,,0.249,0.014,4.519544,0.000021,CARMENES
7882.5574,0.4667,0.0019,,,,,,0.215,0.015,4.531557,0.000031,CARMENES
7883.6093,0.4713,0.0025,,,,,,0.236,0.017,4.524145,0.000029,CARMENES
7886.5259,0.4672,0.0023,,,,,,0.209,0.015,4.530803,0.000031,CARMENES
7887.5564,0.4682,0.0028,,,,,,0.252,0.014,4.526731,0.000031,CARMENES
7888.6578,0.4674,0.0024,,,,,,0.217,0.015,4.520124,0.000029,CARMENES
7889.5984,0.4762,0.0023,,,,,,0.226,0.014,4.524461,0.000033,CARMENES
7890.6632,0.4656,0.0027,,,,,,0.209,0.014,4.528221,0.000039,CARMENES
7891.6606,0.4719,0.0018,,,,,,0.208,0.014,4.531215,0.000026,CARMENES
7892.6135,0.4707,0.0018,,,,,,0.209,0.014,4.526772,0.000034,CARMENES
7893.5928,0.4666,0.0021,,,,,,,,4.519875,0.000030,CARMENES
7894.5354,0.4677,0.0019,,,,,,0.214,0.015,4.518418,0.000027,CARMENES
7896.5983,0.4734,0.0018,,,,,,0.213,0.015,4.521649,0.000037,CARMENES
7898.5864,0.4634,0.0016,,,,,,0.203,0.014,4.520543,0.000034,CARMENES
7901.5942,0.4703,0.0025,,,,,,0.214,0.015,4.525237,0.000032,CARMENES
7905.5092,0.4695,0.0018,,,,,,0.220,0.014,4.506873,0.000031,CARMENES
7907.5525,0.4734,0.0019,,,,,,0.223,0.014,4.529032,0.000036,CARMENES
7909.6303,0.4614,0.0014,,,,,,0.263,0.015,4.528508,0.000029,CARMENES
7910.5850,0.4675,0.0018,,,,,,0.243,0.014,4.522989,0.000033,CARMENES
7911.6607,0.4731,0.0016,,,,,,0.264,0.014,4.523880,0.000039,CARMENES
7912.6696,0.4945,0.0014,,,,,,,,4.528402,0.000031,CARMENES
7914.5290,0.4718,0.0019,,,,,,0.219,0.014,4.523029,0.000026,CARMENES
7915.5629,0.4706,0.0020,,,,,,0.249,0.014,4.530445,0.000031,CARMENES
7916.5284,0.4656,0.0021,,,,,,0.207,0.014,4.526649,0.000031,CARMENES
7917.5570,0.4692,0.0021,,,,,,0.232,0.015,4.520847,0.000032,CARMENES
7918.6423,0.4933,0.0014,,,,,,0.246,0.014,4.509221,0.000027,CARMENES
7919.6404,0.4724,0.0020,,,,,,0.206,0.014,4.524409,0.000030,CARMENES
7920.4007,0.4671,0.0032,,,,,,0.235,0.019,4.525726,0.000022,CARMENES
7921.5454,0.4629,0.0018,,,,,,0.224,0.014,4.525481,0.000034,CARMENES
7922.4782,0.4687,0.0017,,,,,,0.251,0.015,4.519807,0.000039,CARMENES
7924.4777,0.4714,0.0014,,,,,,0.233,0.015,4.520213,0.000027,CARMENES
7928.6474,0.4632,0.0020,,,,,,0.207,0.015,,,CARMENES
7931.5880,0.4874,0.0023,,,,,,0.221,0.014,4.526733,0.000023,CARMENES
7934.4085,0.4819,0.0037,,,,,,0.186,0.037,4.521866,0.000029,CARMENES
7934.6591,0.4722,0.0011,,4.528,,0.079,,0.200,0.010,4.517726,0.000041,HARPS-Post2015
7935.4410,0.4689,0.0021,,,,,,0.199,0.014,4.516946,0.000023,CARMENES
7935.6847,0.4807,0.0013,,4.842,,0.126,,0.199,0.010,,,HARPS-Post2015
7936.4931,0.4896,0.0013,,,,,,,,4.525974,0.000034,CARMENES
7936.6501,0.4727,0.0010,,4.206,,0.067,,0.198,0.010,4.522958,0.000039,HARPS-Post2015
7937.4821,0.4690,0.0020,,,,,,0.196,0.015,4.524898,0.000026,CARMENES
7937.6710,0.4744,0.0012,,4.502,,0.083,,0.197,0.010,4.516946,0.000042,HARPS-Post2015
7939.4784,0.4735,0.0016,,,,,,0.199,0.015,4.510528,0.000026,CARMENES
7942.4806,0.4815,0.0009,,,,,,0.196,0.014,4.515902,0.000024,CARMENES
7942.5923,0.4805,0.0012,,4.655,,0.053,,0.207,0.010,4.517489,0.000041,HARPS-Post2015
7943.4695,0.4873,0.0014,,,,,,0.254,0.015,4.521093,0.000036,CARMENES
7943.5790,0.4772,0.0013,,4.106,,0.067,,0.204,0.010,4.520800,0.000049,HARPS-Post2015
7944.4618,0.4781,0.0012,,,,,,,,4.515595,0.000030,CARMENES
7944.5628,0.4775,0.0010,,4.261,,0.069,,0.199,0.010,4.519074,0.000042,HARPS-Post2015
7945.4615,0.4749,0.0018,,,,,,0.212,0.014,4.502933,0.000031,CARMENES
7945.6090,,,,5.239,,0.074,,,,4.525347,0.000049,HARPS-Post2015
7946.5689,0.4772,0.0012,,,,,,0.208,0.015,4.512323,0.000036,CARMENES
7946.7372,0.4775,0.0010,,3.725,,0.078,,0.195,0.010,4.523249,0.000044,HARPS-Post2015
7947.4310,0.4919,0.0014,,,,,,0.213,0.014,4.515274,0.000026,CARMENES
7948.4277,0.4917,0.0018,,,,,,0.188,0.014,4.519133,0.000027,CARMENES
7948.6834,0.4793,0.0013,,3.740,,0.165,,0.195,0.009,4.514808,0.000044,HARPS-Post2015
7949.5383,0.4879,0.0018,,,,,,0.185,0.014,4.516225,0.000031,CARMENES
7949.6872,0.4817,0.0010,,3.273,,0.118,,0.191,0.010,4.519621,0.000049,HARPS-Post2015
7950.4478,0.4919,0.0016,,,,,,,,4.517498,0.000033,CARMENES
7951.4425,0.4792,0.0021,,,,,,0.197,0.014,4.525738,0.000030,CARMENES
7951.6714,0.4867,0.0012,,4.694,,0.179,,0.204,0.010,4.522786,0.000047,HARPS-Post2015
7952.6594,0.4875,0.0009,,4.115,,0.123,,0.192,0.010,4.517100,0.000041,HARPS-Post2015
7953.7112,0.4817,0.0011,,3.525,,0.085,,0.188,0.010,4.519780,0.000046,HARPS-Post2015
7954.4574,0.4913,0.0015,,,,,,,,4.512233,0.000028,CARMENES
7954.6578,0.4793,0.0011,,3.658,,0.087,,0.188,0.010,4.514040,0.000041,HARPS-Post2015
7955.4332,0.4813,0.0022,,,,,,0.197,0.014,4.516875,0.000033,CARMENES
7955.6701,0.4826,0.0012,,4.093,,0.130,,0.183,0.010,4.508518,0.000046,HARPS-Post2015
7956.6968,0.4837,0.0011,,3.488,,0.078,,0.186,0.010,4.515476,0.000043,HARPS-Post2015
7958.4495,0.4821,0.0018,,,,,,0.191,0.014,4.518267,0.000036,CARMENES
7958.7729,0.4896,0.0010,,4.460,,0.186,,0.196,0.010,4.523302,0.000039,HARPS-Post2015
7959.5620,0.4773,0.0017,,,,,,0.204,0.014,4.518065,0.000036,CARMENES
7959.6551,0.4865,0.0009,,3.711,,0.095,,0.192,0.009,4.517138,0.000040,HARPS-Post2015
7960.4169,0.4824,0.0012,,,,,,0.188,0.014,4.524756,0.000037,CARMENES
7960.6787,0.4876,0.0011,,3.629,,0.089,,0.190,0.010,4.517431,0.000042,HARPS-Post2015
7961.4198,0.4880,0.0016,,,,,,0.207,0.014,4.521241,0.000042,CARMENES
7961.6633,0.4837,0.0011,,3.554,,0.111,,0.188,0.010,4.517765,0.000039,HARPS-Post2015
7962.4204,0.4936,0.0020,,,,,,0.191,0.014,4.511069,0.000031,CARMENES
7962.6499,0.4870,0.0010,,4.019,,0.208,,0.181,0.009,4.514814,0.000045,HARPS-Post2015
7963.4070,0.4819,0.0012,,,,,,0.192,0.014,4.524448,0.000031,CARMENES
7964.4104,0.4808,0.0015,,,,,,,,4.512530,0.000031,CARMENES
7964.6642,0.4830,0.0011,,3.248,,0.156,,,,4.514358,0.000049,HARPS-Post2015
7965.4354,0.4774,0.0018,,,,,,,,4.520988,0.000037,CARMENES
7965.6493,0.4815,0.0010,,3.764,,0.089,,0.190,0.010,4.512690,0.000042,HARPS-Post2015
7966.6374,0.4825,0.0012,,3.832,,0.079,,0.191,0.009,4.516872,0.000041,HARPS-Post2015
7967.5652,0.4856,0.0011,,3.997,,0.120,,0.194,0.010,4.518250,0.000038,HARPS-Post2015
7968.4969,0.4777,0.0014,,4.181,,0.119,,0.201,0.009,4.513839,0.000042,HARPS-Post2015
7969.4186,0.4875,0.0014,,,,,,0.225,0.015,4.520383,0.000038,CARMENES
7969.6348,0.4741,0.0010,,3.857,,0.116,,0.193,0.010,4.513517,0.000036,HARPS-Post2015
7970.4079,0.4741,0.0024,,,,,,,,4.518374,0.000037,CARMENES
7970.4944,0.4798,0.0010,,3.528,,0.079,,0.190,0.010,4.517754,0.000046,HARPS-Post2015
7971.3874,0.4738,0.0020,,,,,,,,4.514219,0.000028,CARMENES
7972.4843,0.4851,0.0011,,4.178,,0.080,,0.205,0.010,4.519766,0.000048,HARPS-Post2015
7973.4960,0.4778,0.0011,,3.667,,0.118,,0.190,0.009,4.520772,0.000043,HARPS-Post2015
7974.4163,0.4807,0.0081,,,,,,,,4.517518,0.000033,CARMENES
7974.4179,,,,,,,,0.200,0.014,,,CARMENES
7974.4810,0.4791,0.0011,,3.679,,0.067,,0.189,0.010,4.514484,0.000045,HARPS-Post2015
7975.3767,0.5017,0.0018,,,,,,0.237,0.015,4.510807,0.000030,CARMENES
7976.3995,0.4812,0.0020,,,,,,0.187,0.015,4.513530,0.000031,CARMENES
7977.4213,0.4897,0.0018,,,,,,,,4.510504,0.000034,CARMENES
7977.4671,0.4888,0.0015,,4.008,,0.037,,0.191,0.010,4.513099,0.000068,HARPSN
7978.3894,0.4853,0.0013,,3.915,,0.028,,0.188,0.010,4.517042,0.000063,HARPSN
7979.4185,0.4948,0.0013,,4.211,,0.026,,0.198,0.010,4.517316,0.000062,HARPSN
7979.4557,0.4804,0.0021,,,,,,0.222,0.015,4.512286,0.000026,CARMENES
7979.6329,0.4834,0.0010,,4.092,,0.087,,0.207,0.010,4.515251,0.000041,HARPS-Post2015
7980.4444,0.4864,0.0013,,3.789,,0.032,,0.189,0.010,4.515610,0.000064,HARPSN
7980.6373,0.4959,0.0011,,4.554,,0.086,,0.204,0.009,4.518939,0.000045,HARPS-Post2015
7981.3859,0.4832,0.0012,,,,,,0.186,0.015,4.514490,0.000026,CARMENES
7981.4470,0.4837,0.0013,,3.497,,0.034,,0.186,0.010,4.517274,0.000062,HARPSN
7981.6207,0.4815,0.0011,,3.827,,0.081,,0.189,0.010,4.518612,0.000043,HARPS-Post2015
7982.4038,0.4896,0.0013,,4.091,,0.033,,0.191,0.010,4.517699,0.000068,HARPSN
7982.4564,0.4893,0.0016,,,,,,0.185,0.015,4.520271,0.000030,CARMENES
7983.4602,0.4863,0.0014,,3.899,,0.033,,0.190,0.010,4.515910,0.000063,HARPSN
7984.5244,0.4855,0.0010,,3.680,,0.095,,0.189,0.010,4.515681,0.000037,HARPS-Post2015
7985.5227,0.4912,0.0011,,3.995,,0.088,,0.193,0.010,4.515818,0.000044,HARPS-Post2015
7986.4338,0.4897,0.0020,,,,,,0.194,0.015,4.525081,0.000031,CARMENES
7986.5336,0.4916,0.0011,,4.386,,0.080,,0.193,0.010,4.516571,0.000042,HARPS-Post2015
7987.4104,0.4867,0.0021,,,,,,0.182,0.015,4.527317,0.000037,CARMENES
7987.5429,0.4899,0.0009,,3.928,,0.076,,0.195,0.010,4.515427,0.000045,HARPS-Post2015
7989.3398,,,,,,,,0.211,0.015,4.521591,0.000035,CARMENES
7990.4296,0.4909,0.0015,,,,,,0.188,0.016,4.518514,0.000031,CARMENES
7990.5081,0.4869,0.0011,,3.914,,0.069,,0.197,0.009,4.515789,0.000043,HARPS-Post2015
7991.5247,0.4945,0.0009,,4.125,,0.127,,0.202,0.010,4.517246,0.000047,HARPS-Post2015
7992.5230,0.4936,0.0011,,4.502,,0.057,,0.200,0.010,4.517101,0.000045,HARPS-Post2015
7993.5070,0.4887,0.0009,,4.380,,0.078,,0.202,0.010,4.517938,0.000049,HARPS-Post2015
7994.4922,0.4897,0.0009,,4.331,,0.068,,0.204,0.010,4.519561,0.000045,HARPS-Post2015
7995.4979,0.4906,0.0009,,3.916,,0.087,,0.194,0.010,4.512227,0.000046,HARPS-Post2015
7996.4992,0.4893,0.0009,,4.153,,0.112,,0.197,0.010,4.520476,0.000048,HARPS-Post2015
7998.4241,0.4836,0.0012,,,,,,0.180,0.015,4.513271,0.000029,CARMENES
7998.5299,0.4873,0.0010,,3.782,,0.091,,0.196,0.010,4.516406,0.000045,HARPS-Post2015
7999.3176,,,,,,,,0.225,0.015,4.519424,0.000029,CARMENES
7999.4926,0.4931,0.0009,,5.291,,0.215,,,,,,HARPS-Post2015
8000.4097,0.4912,0.0016,,,,,,0.194,0.015,4.519903,0.000034,CARMENES
8000.5298,0.4895,0.0012,,3.876,,0.112,,0.198,0.010,4.520935,0.000036,HARPS-Post2015
8001.4450,0.4948,0.0017,,,,,,0.204,0.015,4.515495,0.000042,CARMENES
8001.5354,0.4938,0.0010,,4.120,,0.098,,0.201,0.010,4.519562,0.000044,HARPS-Post2015
8002.5247,0.4806,0.0011,,3.734,,0.088,,0.202,0.010,4.520460,0.000050,HARPS-Post2015
8005.3929,0.4806,0.0013,,3.958,,0.033,,0.193,0.010,4.520791,0.000062,HARPSN
8006.3945,0.4764,0.0014,,3.805,,0.036,,0.197,0.010,4.518549,0.000068,HARPSN
8007.3107,0.4861,0.0011,,,,,,0.188,0.015,4.515624,0.000039,CARMENES
8007.3875,0.4762,0.0014,,3.924,,0.034,,0.196,0.010,4.520033,0.000065,HARPSN
8007.5469,0.4813,0.0010,,4.375,,0.139,,0.198,0.010,4.516184,0.000038,HARPS-Post2015
8008.3818,0.4806,0.0014,,,,,,0.196,0.015,4.516720,0.000028,CARMENES
8008.3874,0.4794,0.0014,,4.150,,0.026,,0.197,0.010,4.520400,0.000065,HARPSN
8008.6115,0.4827,0.0011,,4.149,,0.222,,0.203,0.010,4.521407,0.000049,HARPS-Post2015
8009.3893,0.4906,0.0014,,4.902,,0.054,,0.207,0.010,4.521989,0.000064,HARPSN
8010.3082,0.4821,0.0010,,,,,,0.193,0.015,4.523260,0.000029,CARMENES
8010.3765,0.4894,0.0014,,4.564,,0.036,,0.202,0.010,4.522048,0.000062,HARPSN
8010.5344,0.4861,0.0012,,4.139,,0.130,,0.203,0.010,4.519682,0.000053,HARPS-Post2015
8011.5864,0.4814,0.0010,,4.306,,0.228,,0.206,0.010,4.517825,0.000044,HARPS-Post2015
8012.5915,0.4937,0.0010,,5.326,,0.142,,0.213,0.010,4.518870,0.000043,HARPS-Post2015
8013.5567,0.4750,0.0011,,3.745,,0.146,,0.203,0.010,4.522997,0.000041,HARPS-Post2015
8017.3314,0.4667,0.0016,,,,,,0.184,0.015,4.530008,0.000037,CARMENES
8017.4853,0.4713,0.0011,,4.267,,0.115,,0.199,0.010,4.516334,0.000043,HARPS-Post2015
8018.5288,0.4726,0.0011,,3.897,,0.086,,0.202,0.010,4.517446,0.000045,HARPS-Post2015
8019.4957,0.4714,0.0012,,4.326,,0.068,,0.202,0.010,4.521574,0.000039,HARPS-Post2015
8020.4998,0.4712,0.0010,,3.847,,0.083,,0.203,0.010,4.524315,0.000049,HARPS-Post2015
8021.3062,0.4866,0.0015,,,,,,0.151,0.016,4.515484,0.000040,CARMENES
8021.4786,0.4662,0.0012,,3.963,,0.079,,0.202,0.010,4.524807,0.000040,HARPS-Post2015
8022.2861,0.4663,0.0017,,,,,,,,,,CARMENES
8022.4792,0.4678,0.0011,,3.816,,0.084,,0.203,0.010,4.523850,0.000041,HARPS-Post2015
8023.4814,0.4725,0.0011,,4.305,,0.107,,0.202,0.010,4.515319,0.000042,HARPS-Post2015
