# Welch's power spectrum estimate
# Chosen Nyquist frequency: 0.2
# Rayleigh resolution: 0.00032236155369113673
# 6-dB main lobe half width (1/2 limiting resolution): 0.0035912120288300823
# Actual number of segments: 5
# Effective number of segments: 4.988474628218962
# Segment start and end points: [[0, 203], [101, 304], [203, 406], [304, 507], [405, 611]]
# Segments detrended: True
# Trend type: linear
# Window applied: BlackmanHarris
# Number of bootstrap iterations: 10000
# 5% FAP (bootstrap): 0.0004897159104923477
# 1% FAP (bootstrap): 0.000576032303070119
# 0.1% FAP (bootstrap): 0.0006686909239068843
# frequency,power
8.70967742e-03,2.89477849e-04
8.76344086e-03,2.82124054e-04
8.81720430e-03,2.74638627e-04
8.87096774e-03,2.67004963e-04
8.92473118e-03,2.59209305e-04
8.97849462e-03,2.51241201e-04
9.03225806e-03,2.43093872e-04
9.08602151e-03,2.34764500e-04
9.13978495e-03,2.26254423e-04
9.19354839e-03,2.17569241e-04
9.24731183e-03,2.42185335e-04
9.30107527e-03,2.74533014e-04
9.35483871e-03,3.04187884e-04
9.40860215e-03,3.29818017e-04
9.46236559e-03,3.24755863e-04
9.51612903e-03,3.38042274e-04
9.56989247e-03,3.72358230e-04
9.62365591e-03,3.73109072e-04
9.67741935e-03,3.66973371e-04
9.73118280e-03,3.54342861e-04
9.78494624e-03,3.35901819e-04
9.83870968e-03,3.12575618e-04
9.89247312e-03,3.04805931e-04
9.94623656e-03,3.05448394e-04
1.00000000e-02,3.03539491e-04
1.00537634e-02,2.98577683e-04
1.01075269e-02,2.90264327e-04
1.01612903e-02,2.78496340e-04
1.02150538e-02,2.63356905e-04
1.02688172e-02,2.45104065e-04
1.03225806e-02,2.24156675e-04
1.03763441e-02,2.01077332e-04
1.04301075e-02,1.76550771e-04
1.04838710e-02,1.51355954e-04
1.05376344e-02,1.26328477e-04
1.05913978e-02,1.02311067e-04
1.06451613e-02,8.00921318e-05
1.06989247e-02,6.03370633e-05
1.07526882e-02,6.03172902e-05
1.08064516e-02,7.22052748e-05
1.08602151e-02,8.55861073e-05
1.09139785e-02,9.99741054e-05
1.09677419e-02,1.14876059e-04
1.10215054e-02,1.29796656e-04
1.10752688e-02,1.44245702e-04
